course_name,n,mean_rank,final_rank
2,53,2.358490566037736,1
Unnamed: 18,19,3.6842105263157894,2
3,53,4.452830188679245,3
1.1,53,4.867924528301887,4
5.1,4,5.0,5
6,53,5.056603773584905,6
8,53,5.09433962264151,7
7,53,5.886792452830188,8
